20210222 09:45:01 |OK| organization: |mgithubTestOrg| project: |projAAA| execute |GITHUBCLI| force: |False| skip-get-repositories: |False| skip-broken: |False| url: |http://github.com/mgithubTestOrg| clistring: |gh secret set SECRET_1 -b"abcdefg666"
20210222 09:45:06 |OK| organization: |mgithubTestOrg| project: |projBBB| execute |GITHUBCLI| force: |False| skip-get-repositories: |False| skip-broken: |False| url: |http://github.com/mgithubTestOrg| clistring: |gh secret set SECRET_1 -b"abcdefg666"
20210222 09:45:11 |OK| organization: |mgithubTestOrg| project: |projCCC| execute |GITHUBCLI| force: |False| skip-get-repositories: |False| skip-broken: |False| url: |http://github.com/mgithubTestOrg| clistring: |gh secret set SECRET_1 -b"abcdefg666"
20210222 09:49:02 |OK| organization: |mgithubTestOrg| project: |projAAA| execute |COPY| force: |False| skip-get-repositories: |False| skip-broken: |False| url: |http://github.com/mgithubTestOrg| src: |copysrc/test| des: |/
20210222 09:49:06 |OK| organization: |mgithubTestOrg| project: |projBBB| execute |COPY| force: |False| skip-get-repositories: |False| skip-broken: |False| url: |http://github.com/mgithubTestOrg| src: |copysrc/test| des: |/
20210222 09:49:10 |OK| organization: |mgithubTestOrg| project: |projCCC| execute |COPY| force: |False| skip-get-repositories: |False| skip-broken: |False| url: |http://github.com/mgithubTestOrg| src: |copysrc/test| des: |/
20210222 10:07:42 |ABORT| organization: |mgithubTestOrg| project: |projAAA| execute |COPY| force: |False| skip-get-repositories: |False| skip-broken: |False| url: |http://github.com/mgithubTestOrg| src: |copysrc/test| des: |/
20210222 10:08:14 |OK| organization: |mgithubTestOrg| project: |projAAA| execute |COPY| force: |False| skip-get-repositories: |False| skip-broken: |False| url: |http://github.com/mgithubTestOrg| src: |copysrc/test| des: |/
20210222 10:08:15 |ABORT| organization: |mgithubTestOrg| project: |projBBB| execute |COPY| force: |False| skip-get-repositories: |False| skip-broken: |False| url: |http://github.com/mgithubTestOrg| src: |copysrc/test| des: |/
20210222 10:27:28 |OK| organization: |mgithubTestOrg| project: |projAAA| execute |COPY| force: |False| skip-get-repositories: |False| skip-broken: |False| url: |http://github.com/mgithubTestOrg| src: |copysrc/test| des: |/
20210222 10:27:29 |ABORT| organization: |mgithubTestOrg| project: |projBBB| execute |COPY| force: |False| skip-get-repositories: |False| skip-broken: |False| url: |http://github.com/mgithubTestOrg| src: |copysrc/test| des: |/
20210222 11:10:38 |OK| organization: |mgithubTestOrg| project: |projAAA| execute |COPY| force: |False| skip-get-repositories: |False| skip-broken: |False| url: |http://github.com/mgithubTestOrg| src: |copysrc/test| des: |/
20210222 11:10:43 |OK| organization: |mgithubTestOrg| project: |projBBB| execute |COPY| force: |False| skip-get-repositories: |False| skip-broken: |False| url: |http://github.com/mgithubTestOrg| src: |copysrc/test| des: |/
20210222 11:10:45 |ABORT| organization: |mgithubTestOrg| project: |projCCC| execute |COPY| force: |False| skip-get-repositories: |False| skip-broken: |False| url: |http://github.com/mgithubTestOrg| src: |copysrc/test| des: |/
20210222 11:11:30 |OK| organization: |mgithubTestOrg| project: |projAAA| execute |COPY| force: |False| skip-get-repositories: |False| skip-broken: |False| url: |http://github.com/mgithubTestOrg| src: |copysrc/test| des: |/
20210222 11:11:36 |OK| organization: |mgithubTestOrg| project: |projBBB| execute |COPY| force: |False| skip-get-repositories: |False| skip-broken: |False| url: |http://github.com/mgithubTestOrg| src: |copysrc/test| des: |/
20210222 11:11:41 |OK| organization: |mgithubTestOrg| project: |projCCC| execute |COPY| force: |False| skip-get-repositories: |False| skip-broken: |False| url: |http://github.com/mgithubTestOrg| src: |copysrc/test| des: |/
20210222 11:12:00 |ABORT| organization: |mgithubTestOrg| project: |projAAA| execute |COPY| force: |False| skip-get-repositories: |False| skip-broken: |False| url: |http://github.com/mgithubTestOrg| src: |copysrc/test| des: |/
20210222 11:12:32 |OK| organization: |mgithubTestOrg| project: |projAAA| execute |COPY| force: |False| skip-get-repositories: |True| skip-broken: |False| url: |http://github.com/mgithubTestOrg| src: |copysrc/test| des: |/
20210222 11:12:36 |OK| organization: |mgithubTestOrg| project: |projBBB| execute |COPY| force: |False| skip-get-repositories: |True| skip-broken: |False| url: |http://github.com/mgithubTestOrg| src: |copysrc/test| des: |/
20210222 11:12:41 |OK| organization: |mgithubTestOrg| project: |projCCC| execute |COPY| force: |False| skip-get-repositories: |True| skip-broken: |False| url: |http://github.com/mgithubTestOrg| src: |copysrc/test| des: |/
20210222 11:13:46 |OK| organization: |mgithubTestOrg| project: |projAAA| execute |COPY| force: |False| skip-get-repositories: |True| skip-broken: |False| url: |http://github.com/mgithubTestOrg| src: |copysrc/test| des: |/
20210222 11:13:48 |ABORT| organization: |mgithubTestOrg| project: |projBBB| execute |COPY| force: |False| skip-get-repositories: |True| skip-broken: |False| url: |http://github.com/mgithubTestOrg| src: |copysrc/test| des: |/
